SEASON_ID|RALLY_ID|NATION|WINNER|DATETIME
15|16|Spain|FEDE|2019-05-10T23:25:06.665
15|16|Spain|FEDE|2019-05-10T23:25:06.665
15|16|Spain|BOMBER|2019-05-10T23:25:06.666
15|16|Spain|BOMBER|2019-05-10T23:25:06.666
15|16|Spain|BOMBER|2019-05-10T23:25:06.667
15|22|Sweden|FEDE|2019-05-11T00:26:13.844
15|22|Sweden|BOMBER|2019-05-11T00:26:13.845
15|22|Sweden|FEDE|2019-05-11T00:26:13.845
15|22|Sweden|FEDE|2019-05-11T00:26:13.846
15|27|France|FEDE|2019-05-11T00:50:58.281
15|27|France|FEDE|2019-05-11T00:50:58.281
15|27|France|FEDE|2019-05-11T00:50:58.282
15|31|Mexico|BOMBER|2019-05-11T01:21:10.678
15|31|Mexico|FEDE|2019-05-11T01:21:10.678
15|31|Mexico|FEDE|2019-05-11T01:21:10.679
15|31|Mexico|FEDE|2019-05-11T01:21:10.679
15|36|China|BOMBER|2019-05-11T01:48:16.279
15|36|China|BOMBER|2019-05-11T01:48:16.279
15|36|China|FEDE|2019-05-11T01:48:16.28
15|36|China|BOMBER|2019-05-11T01:48:16.28
15|41|Italy|BOMBER|2019-05-11T02:26:04.961
15|41|Italy|FEDE|2019-05-11T02:26:04.961
15|41|Italy|FEDE|2019-05-11T02:26:04.961
15|41|Italy|BOMBER|2019-05-11T02:26:04.962
15|41|Italy|BOMBER|2019-05-11T02:26:04.962
