entityId|creationTm|_epk|nation|stage|winner|carFede|carBomber|weather|time|seasonID|rallyID|stageProgrInRally
17|2019-05-10T23:25:06.665|15-16-0|[12,Spain]|[130,Spain-0]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|16|0
18|2019-05-10T23:25:06.665|15-16-1|[12,Spain]|[131,Spain-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|16|1
19|2019-05-10T23:25:06.666|15-16-2|[12,Spain]|[132,Spain-2]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|16|2
20|2019-05-10T23:25:06.666|15-16-3|[12,Spain]|[133,Spain-3]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|16|3
21|2019-05-10T23:25:06.667|15-16-4|[12,Spain]|[134,Spain-4]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|16|4
23|2019-05-11T00:26:13.844|15-22-0|[2,Sweden]|[83,Sweden-0]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|22|0
24|2019-05-11T00:26:13.845|15-22-1|[2,Sweden]|[84,Sweden-1]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|22|1
25|2019-05-11T00:26:13.845|15-22-2|[2,Sweden]|[85,Sweden-2]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|22|2
26|2019-05-11T00:26:13.846|15-22-3|[2,Sweden]|[86,Sweden-3]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|22|3
28|2019-05-11T00:50:58.281|15-27-0|[11,France]|[126,France-0]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|27|0
29|2019-05-11T00:50:58.281|15-27-1|[11,France]|[127,France-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|27|1
30|2019-05-11T00:50:58.282|15-27-2|[11,France]|[128,France-2]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|27|2
32|2019-05-11T01:21:10.678|15-31-0|[3,Mexico]|[88,Mexico-0]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|31|0
33|2019-05-11T01:21:10.678|15-31-1|[3,Mexico]|[89,Mexico-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|31|1
34|2019-05-11T01:21:10.679|15-31-2|[3,Mexico]|[90,Mexico-2]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|31|2
35|2019-05-11T01:21:10.679|15-31-3|[3,Mexico]|[91,Mexico-3]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|31|3
37|2019-05-11T01:48:16.279|15-36-0|[10,China]|[123,China-0]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|36|0
38|2019-05-11T01:48:16.279|15-36-1|[10,China]|[124,China-1]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|36|1
39|2019-05-11T01:48:16.28|15-36-2|[10,China]|[125,China-2]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|36|2
40|2019-05-11T01:48:16.28|15-36-3|[10,China]|[123,China-0]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|36|3
42|2019-05-11T02:26:04.961|15-41-0|[6,Italy]|[103,Italy-0]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|41|0
43|2019-05-11T02:26:04.961|15-41-1|[6,Italy]|[104,Italy-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|41|1
44|2019-05-11T02:26:04.961|15-41-2|[6,Italy]|[105,Italy-2]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|41|2
45|2019-05-11T02:26:04.962|15-41-3|[6,Italy]|[106,Italy-3]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|41|3
46|2019-05-11T02:26:04.962|15-41-4|[6,Italy]|[107,Italy-4]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|41|4
48|2019-05-17T23:15:54.678|15-47-0|[14,Australia]|[140,Australia-0]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|47|0
49|2019-05-17T23:15:54.679|15-47-1|[14,Australia]|[141,Australia-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|47|1
50|2019-05-17T23:15:54.679|15-47-2|[14,Australia]|[142,Australia-2]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|47|2
