entityId|creationTm|_epk|nation|matches|seasonID|rallyProgrInSeason
16|2019-05-10T23:25:06.665|15-0|[12,Spain]||15|0
22|2019-05-11T00:26:13.844|15-1|[2,Sweden]||15|1
27|2019-05-11T00:50:58.281|15-2|[11,France]||15|2
31|2019-05-11T01:21:10.678|15-3|[3,Mexico]||15|3
36|2019-05-11T01:48:16.279|15-4|[10,China]||15|4
41|2019-05-11T02:26:04.961|15-5|[6,Italy]||15|5
47|2019-05-17T23:15:54.673|15-6|[14,Australia]||15|6
52|2019-05-17T23:47:44.392|15-7|[13,United Kingdom]||15|7
58|2019-05-18T00:46:12.175|15-8|[5,Portugal]||15|8
64|2019-05-18T01:01:14.604|15-9|[7,Poland]||15|9
68|2019-05-18T01:26:26.642|15-10|[8,Finland]||15|10
146|2019-05-25T01:32:20.439|15-11|[4,Argentina]||15|11
152|2019-05-25T02:11:45.783|151-0|[1,Monaco]||151|0
158|2019-05-25T02:54:25.256|151-1|[9,Germany]||151|1
165|2019-05-26T01:27:56.881|151-2|[13,United Kingdom]||151|2
169|2019-05-26T02:47:12.243|151-3|[10,China]||151|3
175|2019-05-26T03:21:49.127|151-4|[11,France]||151|4
181|2019-06-01T00:01:06.719|151-5|[14,Australia]||151|5
186|2019-06-01T00:33:12.556|151-6|[2,Sweden]||151|6
192|2019-06-01T00:52:26.491|151-7|[6,Italy]||151|7
198|2019-06-02T22:00:43.37|151-8|[5,Portugal]||151|8
204|2019-06-02T22:38:41.536|151-9|[12,Spain]||151|9
212|2019-06-07T22:19:01.286|211-0|[1,Monaco]||211|0
217|2019-06-07T22:42:20.637|211-1|[2,Sweden]||211|1
222|2019-06-08T00:16:52.069|211-2|[3,Mexico]||211|2
226|2019-06-08T00:17:15.44|211-3|[4,Argentina]||211|3
232|2019-06-08T00:29:29.121|211-4|[5,Portugal]||211|4
238|2019-06-08T01:30:27.879|211-5|[6,Italy]||211|5
243|2019-06-08T01:51:24.395|211-6|[7,Poland]||211|6
248|2019-06-08T02:14:18.762|211-7|[8,Finland]||211|7
253|2019-06-08T02:49:23.041|211-8|[9,Germany]||211|8
260|2019-06-09T18:52:46.428|211-9|[10,China]||211|9
265|2019-06-09T19:08:40.394|211-10|[11,France]||211|10
270|2019-06-09T22:20:32.153|211-11|[12,Spain]||211|11
277|2019-06-09T22:57:35.13|276-0|[1,Monaco]||276|0
283|2019-06-09T23:19:49.164|276-1|[2,Sweden]||276|1
297|2019-06-15T00:45:04.701|276-2|[3,Mexico]||276|2
306|2019-06-16T01:17:24.58|276-3|[4,Argentina]||276|3
310|2019-06-16T01:41:48.438|276-4|[5,Portugal]||276|4
315|2019-06-18T21:11:03.506|276-5|[6,Italy]||276|5
320|2019-06-18T21:36:03.945|276-6|[7,Poland]||276|6
325|2019-06-18T21:55:10.983|276-7|[8,Finland]||276|7
332|2019-06-21T21:27:55.967|276-8|[9,Germany]||276|8
337|2019-06-21T22:01:11.532|276-9|[10,China]||276|9
343|2019-06-21T22:31:05.364|342-0|[1,Monaco]||342|0
348|2019-06-21T22:57:44.759|342-1|[2,Sweden]||342|1
354|2019-06-21T23:22:20.69|342-2|[3,Mexico]||342|2
360|2019-06-21T23:49:24.601|342-3|[4,Argentina]||342|3
364|2019-06-22T00:18:35.287|342-4|[5,Portugal]||342|4
369|2019-06-22T00:45:04.896|342-5|[6,Italy]||342|5
379|2019-06-23T22:23:16.838|342-6|[7,Poland]||342|6
383|2019-06-23T22:43:47.651|342-7|[8,Finland]||342|7
388|2019-06-23T23:03:40.736|342-8|[9,Germany]||342|8
392|2019-06-23T23:39:19.132|342-9|[10,China]||342|9
397|2019-06-24T00:08:31.94|342-10|[11,France]||342|10
408|2019-07-04T21:57:59.425|342-11|[12,Spain]||342|11
413|2019-07-04T22:18:57.119|342-12|[13,United Kingdom]||342|12
422|2019-12-29T20:16:04.636|420-0|[14,Australia]||420|0
426|2019-12-29T20:32:10.996|420-1|[13,United Kingdom]||420|1
431|2019-12-29T22:49:41.137|420-2|[12,Spain]||420|2
