entityId|creationTm|_epk|nation|name|length|specialStage|surface|nationName|num
78|2019-05-18T12:30:08.555|Monaco-0|[1,Monaco]|Entrevaux|4320|false|TARMAC:1.0|Monaco|0
79|2019-05-18T12:30:08.555|Monaco-1|[1,Monaco]|Corps|6050|false|SNOW:0.3--TARMAC:0.7|Monaco|1
80|2019-05-18T12:30:08.556|Monaco-2|[1,Monaco]|La Baite-Neuve|5590|false|SNOW:0.7--TARMAC:0.3|Monaco|2
81|2019-05-18T12:30:08.556|Monaco-3|[1,Monaco]|Peira Cava|8150|false|TARMAC:1.0|Monaco|3
82|2019-05-18T12:30:08.557|Monaco-4|[1,Monaco]|Col de l'Orme|6170|false|TARMAC:1.0|Monaco|4
83|2019-05-18T12:30:08.557|Sweden-0|[2,Sweden]|Torsby|6000|false|SNOW:1.0|Sweden|0
84|2019-05-18T12:30:08.558|Sweden-1|[2,Sweden]|Kirkenaer|3380|false|SNOW:1.0|Sweden|1
85|2019-05-18T12:30:08.559|Sweden-2|[2,Sweden]|Fredriksberg|5500|false|SNOW:1.0|Sweden|2
86|2019-05-18T12:30:08.559|Sweden-3|[2,Sweden]|Vargasen|11610|false|SNOW:0.7--GRAVEL:0.3|Sweden|3
87|2019-05-18T12:30:08.56|Sweden-4|[2,Sweden]|Karlstad|3800|true|SNOW:1.0|Sweden|4
88|2019-05-18T12:30:08.56|Mexico-0|[3,Mexico]|Los Mexicanos|4020|false|GRAVEL:1.0|Mexico|0
89|2019-05-18T12:30:08.561|Mexico-1|[3,Mexico]|Las Minas|5030|false|GRAVEL:1.0|Mexico|1
90|2019-05-18T12:30:08.562|Mexico-2|[3,Mexico]|Ibarilla|8250|false|GRAVEL:1.0|Mexico|2
91|2019-05-18T12:30:08.562|Mexico-3|[3,Mexico]|El Brinco|3350|false|GRAVEL:1.0|Mexico|3
92|2019-05-18T12:30:08.563|Mexico-4|[3,Mexico]|Autodromo de Leon|2300|true|GRAVEL:0.2--TARMAC:0.8|Mexico|4
93|2019-05-18T12:30:08.564|Argentina-0|[4,Argentina]|Soconcho|7910|false|GRAVEL:1.0|Argentina|0
94|2019-05-18T12:30:08.564|Argentina-1|[4,Argentina]|El Resposo|1101|false|GRAVEL:1.0|Argentina|1
